"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"215A";"5202#678";5202;"182-1";1;1700;100;"P";55;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";62;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"215B";"5202#678";5202;"182-1";1;1700;100;"P";60;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";55;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"39A";"13696#4749";13696;"4370-1";1;1800;90;"P";63;"FALSE";587,873290372743;4749;"180-1";1;1900;80;"G";52;"FALSE";878,472444277666;"";"";"";"";"";"";"";"";""
"39B";"1167#10136";1167;"139-1";1;1300;100;"P";65;"FALSE";605,336156099342;10136;"250-1";1;3500;80;"G";50;"FALSE";1137,18201541459;"";"";"";"";"";"";"";"";""
"39C";"5202#2117";5202;"182-1";1;1700;100;"P";70;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";54;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"39D";"13696#4749";13696;"4370-1";1;1800;90;"P";67;"FALSE";587,873290372743;4749;"180-1";1;1900;80;"G";54;"FALSE";878,472444277666;"";"";"";"";"";"";"";"";""
"39E";"2138#4692";2138;"145-2";1;2500;80;"P";54;"FALSE";707,123438359149;4692;"180-1";1;2200;60;"P";54;"FALSE";1171,53856994013;"";"";"";"";"";"";"";"";""
"39F";"40204#48181";40204;"145-2";1;2000;90;"G";54;"FALSE";697,097735940464;48181;"250-1";1;3200;80;"G";47;"FALSE";1366,39096776331;"";"";"";"";"";"";"";"";""
"444A";"40204#49452";40204;"145-2";1;2000;90;"G";60;"FALSE";697,097735940464;49452;"264-1";1;2600;90;"G";54;"FALSE";935,88727596467;"";"";"";"";"";"";"";"";""
"444P";"40204#49452";40204;"145-2";1;2000;90;"G";60;"FALSE";697,097735940464;49452;"264-1";1;2600;90;"G";58;"FALSE";935,88727596467;"";"";"";"";"";"";"";"";""
"55A";"5202#2113";5202;"182-1";1;1700;100;"P";67;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";56;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"55B";"544#12119";544;"1116-1";1;2500;90;"P";55;"FALSE";670,302039526037;12119;"285-2";1;1900;80;"G";58;"FALSE";869,84178982836;"";"";"";"";"";"";"";"";""
"57A";"2115#4790";2115;"145-2";1;2500;80;"G";40;"FALSE";728,518801451892;4790;"180-1";1;2000;90;"G";52;"FALSE";914,540947742113;"";"";"";"";"";"";"";"";""
"57B";"13698#5904";13698;"4370-1";1;2000;90;"P";59;"FALSE";617,846846343841;5904;"185-2";1;2800;90;"G";52;"FALSE";790,39426419961;"";"";"";"";"";"";"";"";""
"63B";"5202#2113";5202;"182-1";1;1700;100;"P";62;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";54;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"77A";"13696#4749";13696;"4370-1";1;1800;90;"P";56;"FALSE";587,873290372743;4749;"180-1";1;1900;80;"G";56;"FALSE";878,472444277666;"";"";"";"";"";"";"";"";""
"77B";"13696#4749";13696;"4370-1";1;1800;90;"P";64;"FALSE";587,873290372743;4749;"180-1";1;1900;80;"G";56;"FALSE";878,472444277666;"";"";"";"";"";"";"";"";""
"81A";"223#4126";223;"1016-1";1;1700;100;"P";60;"FALSE";530,851201045514;4126;"155-1";1;2600;90;"G";62;"FALSE";819,626425507741;"";"";"";"";"";"";"";"";""
"81B";"5202#2117";5202;"182-1";1;1700;100;"P";60;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";54;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"9A";"5202#2117";5202;"182-1";1;1700;100;"P";67;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";55;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"9B";"5202#13680";5202;"182-1";1;1700;100;"P";63;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";57;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
